时间,A相,B相,C相,A相.1,B相.1,C相.1,A相.2,B相.2,C相.2,A相.3,B相.3,C相.3,A相.4,B相.4,C相.4
2023-01-23 04:46:18,0.318,0.308,0.322,648.183,677.869,666.02,124.06,129.95,127.86,609.25,610.22,611.09,89.8177,89.8238,89.8157
2023-01-23 04:43:18,0.319,0.309,0.322,648.201,677.889,666.041,124.11,130.01,127.94,609.47,610.48,611.42,89.8174,89.8232,89.8153
2023-01-23 04:40:18,0.32,0.31,0.323,648.199,677.894,666.041,124.05,129.96,127.9,609.18,610.22,611.26,89.8169,89.8226,89.8151
2023-01-23 04:37:18,0.32,0.31,0.323,648.2,677.896,666.044,124.08,129.97,127.91,609.32,610.28,611.31,89.8169,89.8226,89.8151
2023-01-23 04:34:18,0.32,0.311,0.323,648.177,677.878,666.025,124.07,129.95,127.89,609.29,610.22,611.2,89.8166,89.8221,89.8147
2023-01-23 04:31:18,0.316,0.306,0.319,647.666,677.347,665.504,123.92,129.8,127.74,609.03,609.97,610.98,89.8188,89.8245,89.8172
2023-01-23 04:28:18,0.321,0.311,0.323,648.102,677.81,665.957,124.05,129.95,127.88,609.27,610.28,611.21,89.8162,89.8218,89.8147
2023-01-23 04:25:18,0.318,0.308,0.321,647.584,677.272,665.429,123.88,129.76,127.71,608.89,609.87,610.92,89.8176,89.8233,89.8162
2023-01-23 04:22:18,0.329,0.319,0.331,647.555,677.239,665.396,123.84,129.74,127.7,608.74,609.8,610.87,89.8116,89.8175,89.8101
2023-01-23 04:19:18,0.331,0.322,0.334,647.527,677.213,665.37,123.81,129.7,127.64,608.64,609.63,610.63,89.8101,89.8157,89.8086
2023-01-23 04:16:18,0.322,0.312,0.325,648.151,677.868,666.013,124.01,129.9,127.86,609.03,609.97,611.07,89.8158,89.8211,89.814
2023-01-23 04:13:18,0.324,0.315,0.327,647.428,677.116,665.274,123.83,129.73,127.67,608.8,609.85,610.87,89.8142,89.8196,89.8126
2023-01-23 04:10:18,0.321,0.312,0.324,648.203,677.929,666.071,124.08,129.98,127.92,609.32,610.31,611.3,89.8161,89.8211,89.8145
2023-01-23 04:07:18,0.317,0.308,0.32,647.547,677.245,665.397,123.84,129.71,127.67,608.76,609.64,610.76,89.8183,89.8234,89.8166
2023-01-23 04:04:18,0.323,0.314,0.326,647.453,677.144,665.298,123.87,129.74,127.7,609.0,609.9,611.0,89.8149,89.8202,89.8131
2023-01-23 04:01:18,0.321,0.312,0.324,647.843,677.552,665.701,123.96,129.85,127.81,609.08,610.04,611.12,89.8161,89.8213,89.8141
2023-01-23 03:58:18,0.317,0.308,0.32,647.575,677.273,665.428,123.9,129.8,127.75,609.02,610.06,611.09,89.8186,89.8236,89.8165
2023-01-23 03:55:18,0.316,0.307,0.32,647.757,677.464,665.616,123.97,129.85,127.81,609.17,610.13,611.21,89.8188,89.8241,89.8168
2023-01-23 03:52:18,0.316,0.306,0.319,647.774,677.479,665.631,123.94,129.83,127.79,609.01,610.0,611.11,89.819,89.8247,89.8171
2023-01-23 03:49:18,0.319,0.309,0.322,648.142,677.863,666.008,124.06,129.95,127.9,609.25,610.22,611.29,89.8174,89.8231,89.8156
2023-01-23 03:46:18,0.321,0.311,0.324,647.914,677.626,665.774,123.99,129.87,127.81,609.15,610.07,611.08,89.816,89.8218,89.8143
2023-01-23 03:43:18,0.32,0.309,0.322,647.823,677.535,665.682,124.0,129.91,127.84,609.26,610.3,611.31,89.8168,89.8227,89.8154
2023-01-23 03:40:18,0.319,0.309,0.322,648.176,677.901,666.042,124.09,130.0,127.94,609.39,610.43,611.47,89.817,89.8228,89.8154
2023-01-23 03:37:18,0.319,0.309,0.322,647.417,677.114,665.266,123.82,129.7,127.66,608.77,609.73,610.82,89.8171,89.8228,89.8157
2023-01-23 03:34:18,0.32,0.311,0.323,648.123,677.852,665.989,124.05,129.93,127.9,609.25,610.14,611.29,89.8164,89.8219,89.815
2023-01-23 03:31:18,0.32,0.31,0.322,647.34,677.031,665.185,123.83,129.74,127.68,608.88,609.97,611.0,89.8169,89.8226,89.8156
2023-01-23 03:28:18,0.318,0.307,0.32,647.425,677.118,665.271,123.86,129.74,127.69,608.95,609.89,610.97,89.8179,89.8239,89.8165
2023-01-23 03:25:18,0.319,0.309,0.322,648.187,677.912,666.052,124.1,130.01,127.94,609.44,610.43,611.45,89.8173,89.823,89.8157
2023-01-23 03:22:18,0.317,0.306,0.32,647.488,677.177,665.329,123.92,129.83,127.78,609.22,610.25,611.34,89.8185,89.8245,89.8169
2023-01-23 03:19:18,0.319,0.309,0.321,648.073,677.79,665.93,124.04,129.95,127.87,609.25,610.28,611.23,89.8175,89.8232,89.8158
2023-01-23 03:16:18,0.32,0.31,0.322,648.139,677.865,665.999,124.07,129.96,127.9,609.32,610.26,611.31,89.8169,89.8225,89.8155
2023-01-23 03:13:18,0.33,0.32,0.332,647.581,677.282,665.425,123.89,129.79,127.75,608.97,610.01,611.09,89.811,89.8167,89.8097
2023-01-23 03:10:18,0.319,0.309,0.322,648.131,677.852,665.984,124.06,129.94,127.89,609.27,610.17,611.26,89.817,89.8229,89.8155
2023-01-23 03:07:18,0.32,0.31,0.323,647.901,677.612,665.749,123.93,129.84,127.76,608.84,609.93,610.83,89.8167,89.8225,89.8151
2023-01-23 03:04:18,0.313,0.302,0.315,647.688,677.388,665.53,123.96,129.83,127.76,609.18,610.1,611.06,89.8209,89.8268,89.8194
2023-01-23 03:01:18,0.318,0.308,0.321,648.203,677.924,666.056,124.07,129.97,127.89,609.27,610.23,611.17,89.8177,89.8236,89.8159
2023-01-23 02:58:18,0.317,0.306,0.32,647.413,677.098,665.244,123.86,129.76,127.69,608.96,610.01,611.0,89.8186,89.8246,89.8169
2023-01-23 02:55:18,0.319,0.309,0.322,647.375,677.06,665.204,123.86,129.75,127.71,608.99,609.99,611.11,89.8171,89.823,89.8153
2023-01-23 02:52:18,0.316,0.305,0.319,647.553,677.244,665.385,123.88,129.76,127.71,608.95,609.88,610.94,89.8191,89.8251,89.8175
2023-01-23 02:49:18,0.318,0.308,0.321,647.36,677.043,665.188,123.82,129.72,127.67,608.84,609.87,610.93,89.8175,89.8235,89.8159
2023-01-23 02:46:18,0.317,0.306,0.32,647.486,677.174,665.317,123.86,129.77,127.71,608.93,610.0,611.03,89.8185,89.8246,89.8168
2023-01-23 02:43:18,0.317,0.307,0.321,648.097,677.806,665.939,124.02,129.95,127.88,609.14,610.26,611.25,89.8182,89.8241,89.8163
2023-01-23 02:40:18,0.317,0.306,0.32,647.876,677.574,665.714,123.98,129.88,127.83,609.12,610.14,611.23,89.8185,89.8245,89.8165
2023-01-23 02:37:18,0.317,0.307,0.321,648.029,677.737,665.874,124.02,129.92,127.89,609.16,610.18,611.34,89.8181,89.8239,89.816
2023-01-23 02:34:18,0.32,0.31,0.323,648.132,677.85,665.981,124.04,129.95,127.9,609.19,610.22,611.29,89.8167,89.8221,89.8148
2023-01-23 02:31:18,0.324,0.314,0.327,647.438,677.122,665.267,123.83,129.73,127.7,608.81,609.85,610.98,89.8143,89.8199,89.8124
2023-01-23 02:28:18,0.319,0.31,0.323,648.179,677.896,666.029,124.09,129.98,127.93,609.39,610.31,611.38,89.817,89.8226,89.8151
2023-01-23 02:25:18,0.324,0.314,0.327,647.424,677.109,665.257,123.85,129.74,127.71,608.89,609.93,611.06,89.8145,89.8202,89.8128
2023-01-23 02:22:18,0.317,0.306,0.32,647.566,677.255,665.402,123.9,129.79,127.75,609.01,610.0,611.1,89.8184,89.8244,89.8165
2023-01-23 02:19:18,0.321,0.311,0.324,648.075,677.79,665.928,123.98,129.87,127.84,608.92,609.89,611.06,89.8163,89.8218,89.8143
2023-01-23 02:16:18,0.32,0.31,0.323,647.405,677.088,665.239,123.79,129.66,127.65,608.64,609.53,610.81,89.8168,89.8226,89.8149
2023-01-23 02:13:18,0.319,0.309,0.322,648.272,677.994,666.13,124.09,129.98,127.97,609.3,610.26,611.5,89.8173,89.8229,89.8155
2023-01-23 02:10:18,0.319,0.31,0.323,648.276,677.998,666.134,124.04,129.94,127.91,609.04,610.03,611.2,89.817,89.8226,89.8151
2023-01-23 02:07:18,0.319,0.309,0.322,647.49,677.176,665.328,123.77,129.67,127.63,608.45,609.5,610.64,89.8173,89.8231,89.8153
2023-01-23 02:04:18,0.322,0.312,0.325,647.666,677.361,665.509,123.82,129.72,127.7,608.54,609.59,610.77,89.8156,89.8214,89.8138
2023-01-23 02:01:18,0.325,0.315,0.328,647.685,677.383,665.53,123.76,129.63,127.61,608.22,609.16,610.36,89.8138,89.8194,89.812
2023-01-23 01:58:17,0.321,0.31,0.323,647.421,677.105,665.259,123.73,129.6,127.59,608.32,609.27,610.49,89.8162,89.8224,89.8147
2023-01-23 01:55:17,0.321,0.31,0.324,647.746,677.446,665.594,123.77,129.68,127.66,608.24,609.33,610.51,89.8161,89.8223,89.8146
2023-01-23 01:52:17,0.32,0.309,0.323,647.614,677.303,665.457,123.81,129.7,127.67,608.55,609.53,610.7,89.8168,89.8232,89.8152
2023-01-23 01:49:17,0.324,0.313,0.327,647.508,677.193,665.35,123.8,129.67,127.65,608.58,609.5,610.67,89.8142,89.8208,89.8127
2023-01-23 01:46:17,0.322,0.311,0.325,647.439,677.121,665.28,123.7,129.6,127.56,608.18,609.26,610.34,89.8152,89.8216,89.8138
2023-01-23 01:43:17,0.322,0.311,0.324,648.229,677.95,666.093,123.97,129.88,127.86,608.75,609.81,610.99,89.8157,89.8217,89.8143
2023-01-23 01:40:17,0.33,0.318,0.332,647.567,677.253,665.412,123.76,129.67,127.64,608.36,609.46,610.58,89.8111,89.8178,89.8098
2023-01-23 01:37:17,0.322,0.311,0.325,647.447,677.128,665.289,123.72,129.62,127.59,608.28,609.32,610.47,89.8153,89.8218,89.8139
2023-01-23 01:34:17,0.322,0.311,0.324,647.498,677.187,665.345,123.75,129.67,127.64,608.34,609.49,610.64,89.8154,89.822,89.8142
2023-01-23 01:31:17,0.323,0.312,0.325,647.968,677.676,665.826,123.88,129.79,127.75,608.56,609.63,610.74,89.8149,89.8212,89.8138
2023-01-23 01:28:17,0.325,0.314,0.327,647.924,677.632,665.784,123.78,129.67,127.67,608.12,609.12,610.36,89.8137,89.8203,89.8126
2023-01-23 01:25:17,0.334,0.323,0.336,647.451,677.137,665.298,123.7,129.59,127.57,608.14,609.2,610.35,89.8085,89.8151,89.8076
2023-01-23 01:22:17,0.325,0.314,0.327,647.463,677.149,665.311,123.75,129.64,127.64,608.41,609.4,610.66,89.8137,89.8201,89.8127
2023-01-23 01:19:17,0.325,0.313,0.327,648.24,677.956,666.104,123.91,129.81,127.81,608.42,609.49,610.75,89.814,89.8206,89.8129
2023-01-23 01:16:17,0.325,0.313,0.327,647.912,677.618,665.772,123.81,129.71,127.69,608.26,609.33,610.47,89.814,89.8206,89.8129
2023-01-23 01:13:17,0.327,0.316,0.329,647.787,677.487,665.642,123.76,129.67,127.65,608.15,609.23,610.41,89.8128,89.8192,89.8117
2023-01-23 01:10:17,0.32,0.309,0.322,647.711,677.41,665.566,123.77,129.67,127.66,608.25,609.31,610.53,89.8165,89.8229,89.8153
2023-01-23 01:07:17,0.324,0.313,0.326,648.325,678.051,666.196,123.95,129.85,127.82,608.57,609.56,610.74,89.8146,89.8209,89.8133
2023-01-23 01:04:17,0.324,0.313,0.327,648.261,677.983,666.129,123.88,129.78,127.76,608.26,609.3,610.48,89.8144,89.8207,89.8129
2023-01-23 01:01:17,0.323,0.312,0.326,647.49,677.18,665.34,123.62,129.53,127.49,607.71,608.85,609.92,89.815,89.8213,89.8134
2023-01-23 00:58:17,0.323,0.312,0.326,648.236,677.955,666.103,123.84,129.77,127.72,608.09,609.27,610.34,89.8151,89.8211,89.8132
2023-01-23 00:55:17,0.325,0.314,0.328,648.161,677.882,666.028,123.81,129.72,127.67,608.02,609.13,610.18,89.8141,89.8199,89.8122
2023-01-23 00:52:17,0.321,0.31,0.324,647.691,677.394,665.549,123.69,129.58,127.55,607.87,608.92,610.01,89.8163,89.8223,89.8145
2023-01-23 00:49:17,0.324,0.314,0.327,648.07,677.793,665.939,123.82,129.71,127.68,608.15,609.15,610.27,89.8144,89.8202,89.8125
2023-01-23 00:46:17,0.324,0.315,0.327,648.121,677.852,665.994,123.76,129.66,127.63,607.84,608.88,610.02,89.8141,89.8196,89.8124
2023-01-23 00:43:17,0.324,0.315,0.328,648.007,677.734,665.878,123.75,129.66,127.64,607.9,608.98,610.16,89.8141,89.8194,89.8123
2023-01-23 00:40:17,0.333,0.324,0.336,647.551,677.259,665.41,123.61,129.49,127.47,607.6,608.58,609.79,89.809,89.8144,89.8074
2023-01-23 00:37:17,0.327,0.318,0.33,647.487,677.191,665.342,123.58,129.47,127.46,607.53,608.55,609.8,89.8124,89.818,89.811
2023-01-23 00:34:17,0.325,0.316,0.327,648.317,678.059,666.193,123.83,129.73,127.71,607.99,609.03,610.23,89.814,89.8191,89.8124
2023-01-23 00:31:17,0.325,0.315,0.327,648.268,678.003,666.14,123.81,129.7,127.68,607.94,608.92,610.12,89.814,89.8192,89.8124
2023-01-23 00:28:17,0.327,0.318,0.329,647.846,677.567,665.709,123.65,129.54,127.52,607.54,608.54,609.74,89.8127,89.8179,89.8113
2023-01-23 00:25:17,0.325,0.316,0.328,648.335,678.076,666.206,123.83,129.73,127.69,607.97,608.97,610.12,89.8135,89.8188,89.8123
2023-01-23 00:22:17,0.326,0.317,0.328,648.068,677.803,665.936,123.8,129.69,127.69,608.05,609.06,610.34,89.813,89.8183,89.8121
2023-01-23 00:19:17,0.327,0.318,0.328,648.246,677.992,666.121,123.82,129.7,127.69,608.01,608.91,610.18,89.8128,89.818,89.812
2023-01-23 00:16:17,0.338,0.329,0.34,647.593,677.31,665.45,123.64,129.51,127.48,607.7,608.63,609.81,89.8063,89.8115,89.8054
2023-01-23 00:13:17,0.325,0.316,0.326,648.263,678.013,666.138,123.85,129.75,127.72,608.14,609.16,610.31,89.8139,89.8188,89.813
2023-01-23 00:10:17,0.327,0.319,0.328,647.51,677.233,665.367,123.63,129.52,127.48,607.73,608.75,609.87,89.8125,89.8173,89.8118
2023-01-23 00:07:17,0.326,0.318,0.327,648.277,678.038,666.155,123.82,129.73,127.71,607.95,609.03,610.22,89.8132,89.8177,89.8125
2023-01-23 00:04:17,0.328,0.319,0.329,647.966,677.715,665.836,123.72,129.6,127.59,607.77,608.72,609.94,89.8122,89.817,89.8117
2023-01-23 00:01:17,0.332,0.323,0.333,647.658,677.391,665.517,123.59,129.46,127.45,607.42,608.33,609.58,89.81,89.8148,89.8094
2023-01-22 23:58:17,0.327,0.318,0.328,647.531,677.258,665.385,123.6,129.5,127.49,607.6,608.67,609.87,89.8125,89.8176,89.8122
2023-01-22 23:55:17,0.328,0.319,0.328,648.017,677.768,665.883,123.75,129.65,127.62,607.84,608.87,610.05,89.8122,89.8172,89.8119
2023-01-22 23:52:17,0.33,0.321,0.33,647.581,677.312,665.433,123.61,129.51,127.49,607.57,608.63,609.83,89.8111,89.8164,89.8109
2023-01-22 23:49:17,0.329,0.321,0.329,648.132,677.896,666.002,123.72,129.61,127.58,607.62,608.61,609.78,89.8114,89.8162,89.8113
2023-01-22 23:46:17,0.326,0.317,0.326,648.207,677.973,666.077,123.76,129.66,127.62,607.72,608.77,609.87,89.8131,89.8182,89.8132
2023-01-22 23:43:17,0.327,0.319,0.327,647.531,677.273,665.385,123.51,129.4,127.38,607.15,608.17,609.35,89.8124,89.8174,89.8127
2023-01-22 23:40:17,0.328,0.319,0.327,647.979,677.743,665.845,123.6,129.5,127.47,607.17,608.21,609.37,89.8123,89.8172,89.8125
2023-01-22 23:37:17,0.327,0.32,0.327,648.152,677.927,666.023,123.66,129.57,127.54,607.31,608.37,609.53,89.8124,89.8168,89.8125
2023-01-22 23:34:17,0.327,0.318,0.327,648.37,678.153,666.246,123.74,129.66,127.62,607.5,608.57,609.72,89.8129,89.8177,89.8129
2023-01-22 23:31:17,0.326,0.318,0.327,648.358,678.141,666.231,123.7,129.63,127.59,607.33,608.48,609.61,89.813,89.8179,89.8129
2023-01-22 23:28:17,0.321,0.312,0.321,647.95,677.714,665.812,123.52,129.42,127.4,606.81,607.86,609.08,89.8159,89.821,89.816
2023-01-22 23:25:17,0.326,0.317,0.326,648.352,678.138,666.228,123.66,129.58,127.55,607.13,608.24,609.38,89.8134,89.8182,89.8133
2023-01-22 23:22:17,0.331,0.323,0.331,647.568,677.32,665.423,123.41,129.28,127.25,606.61,607.56,608.7,89.8103,89.8152,89.8102
2023-01-22 23:19:17,0.325,0.317,0.326,648.316,678.1,666.189,123.59,129.51,127.46,606.8,607.94,608.99,89.8136,89.8186,89.8134
2023-01-22 23:16:17,0.321,0.313,0.322,647.91,677.677,665.773,123.47,129.4,127.35,606.61,607.82,608.88,89.8159,89.8209,89.8158
2023-01-22 23:13:17,0.325,0.316,0.326,647.527,677.272,665.378,123.38,129.29,127.25,606.49,607.64,608.73,89.8137,89.8189,89.8132
2023-01-22 23:10:17,0.319,0.309,0.32,647.811,677.565,665.667,123.4,129.31,127.26,606.34,607.48,608.55,89.8175,89.8228,89.8166
2023-01-22 23:07:17,0.322,0.313,0.324,648.23,678.001,666.095,123.49,129.42,127.36,606.39,607.6,608.62,89.8154,89.8206,89.8143
2023-01-22 23:04:17,0.315,0.306,0.317,647.891,677.646,665.748,123.4,129.32,127.26,606.26,607.46,608.48,89.8195,89.8248,89.8183
2023-01-22 23:01:17,0.319,0.31,0.322,647.526,677.269,665.377,123.32,129.23,127.16,606.22,607.35,608.32,89.817,89.8222,89.8157
2023-01-22 22:58:17,0.323,0.314,0.325,647.673,677.425,665.528,123.38,129.28,127.25,606.35,607.48,608.59,89.8148,89.8201,89.8135
2023-01-22 22:55:17,0.323,0.314,0.326,647.814,677.573,665.672,123.37,129.26,127.22,606.21,607.24,608.36,89.8148,89.82,89.8135
2023-01-22 22:52:17,0.315,0.305,0.316,647.84,677.601,665.699,123.47,129.38,127.32,606.66,607.76,608.78,89.8196,89.8251,89.8187
2023-01-22 22:49:17,0.32,0.31,0.321,648.17,677.945,666.037,123.58,129.49,127.45,606.87,607.99,609.11,89.8167,89.8224,89.8158
2023-01-22 22:46:17,0.32,0.31,0.321,648.292,678.076,666.164,123.66,129.57,127.54,607.16,608.25,609.41,89.8165,89.8222,89.8159
2023-01-22 22:43:17,0.319,0.309,0.32,648.322,678.106,666.191,123.68,129.58,127.54,607.24,608.27,609.41,89.8173,89.823,89.8168
2023-01-22 22:40:17,0.319,0.309,0.32,647.477,677.222,665.325,123.4,129.3,127.25,606.65,607.76,608.79,89.817,89.8231,89.8165
2023-01-22 22:37:17,0.318,0.307,0.318,647.586,677.335,665.435,123.47,129.41,127.35,606.89,608.18,609.17,89.8178,89.8241,89.8176
2023-01-22 22:34:17,0.321,0.31,0.321,648.198,677.97,666.062,123.65,129.57,127.51,607.22,608.32,609.36,89.8163,89.8225,89.8161
2023-01-22 22:31:17,0.325,0.313,0.325,647.757,677.513,665.613,123.5,129.43,127.38,606.88,608.07,609.18,89.814,89.8205,89.8137
2023-01-22 22:28:17,0.319,0.308,0.319,647.498,677.253,665.356,123.55,129.47,127.41,607.37,608.5,609.55,89.8171,89.8233,89.817
2023-01-22 22:25:17,0.325,0.315,0.326,647.578,677.332,665.438,123.61,129.51,127.45,607.57,608.64,609.66,89.8136,89.8198,89.8131
2023-01-22 22:22:17,0.316,0.306,0.317,647.789,677.555,665.656,123.62,129.51,127.46,607.43,608.43,609.51,89.8187,89.825,89.8183
2023-01-22 22:19:17,0.316,0.305,0.317,647.678,677.443,665.547,123.58,129.48,127.43,607.35,608.37,609.45,89.8192,89.8255,89.8186
2023-01-22 22:16:17,0.32,0.309,0.321,648.304,678.097,666.19,123.76,129.67,127.6,607.66,608.7,609.7,89.8167,89.823,89.816
2023-01-22 22:13:17,0.321,0.309,0.321,647.434,677.19,665.298,123.54,129.41,127.38,607.41,608.3,609.42,89.8163,89.8227,89.816
2023-01-22 22:10:17,0.319,0.308,0.319,647.908,677.688,665.785,123.69,129.59,127.54,607.68,608.7,609.75,89.8172,89.8237,89.8174
2023-01-22 22:07:17,0.32,0.309,0.32,648.294,678.099,666.187,123.69,129.62,127.58,607.3,608.44,609.6,89.8165,89.8227,89.8165
2023-01-22 22:04:17,0.321,0.309,0.32,647.513,677.284,665.385,123.51,129.4,127.39,607.16,608.13,609.41,89.8162,89.8229,89.8165
2023-01-22 22:01:17,0.322,0.31,0.321,648.177,677.975,666.064,123.68,129.56,127.56,607.36,608.29,609.59,89.8157,89.8226,89.8161
2023-01-22 21:58:17,0.32,0.308,0.319,648.258,678.064,666.15,123.72,129.64,127.6,607.49,608.58,609.71,89.8167,89.8235,89.8173
2023-01-22 21:55:17,0.321,0.308,0.319,647.744,677.525,665.622,123.51,129.42,127.4,606.96,608.04,609.25,89.8163,89.8236,89.8172
2023-01-22 21:52:17,0.322,0.309,0.32,647.946,677.735,665.829,123.54,129.48,127.42,606.89,608.11,609.17,89.8157,89.823,89.8166
2023-01-22 21:49:17,0.322,0.309,0.32,648.208,678.009,666.095,123.65,129.57,127.51,607.19,608.29,609.32,89.8154,89.8228,89.8165
2023-01-22 21:46:17,0.317,0.304,0.314,647.707,677.493,665.583,123.49,129.4,127.37,606.86,607.96,609.12,89.8184,89.8258,89.8198
2023-01-22 21:43:17,0.322,0.309,0.319,648.107,677.918,665.997,123.58,129.5,127.46,606.94,608.04,609.17,89.8157,89.8227,89.8171
2023-01-22 21:40:17,0.322,0.31,0.32,648.242,678.062,666.135,123.55,129.45,127.43,606.69,607.68,608.92,89.8153,89.8223,89.8167
2023-01-22 21:37:17,0.322,0.31,0.319,648.258,678.084,666.156,123.55,129.44,127.42,606.67,607.63,608.88,89.8155,89.8223,89.8172
